,ETF,Ticker,Technical Action,Score
36,XLY,NVR,Buy,50.016102694268326
8,XLY,BKNG,Buy,28.014340570645793
14,XLY,AZO,Buy,26.74861642533726
38,XLY,LVS,Buy,19.758976293771067
26,XLY,ULTA,Buy,17.81302109942699
3,XLY,MCD,Buy,17.032216764085568
53,XLY,WYNN,Buy,16.11542286475144
27,XLY,GPC,Buy,14.719646851841366
13,XLY,ORLY,Buy,14.562008521276905
49,XLY,CCL,Buy,14.121791258955973
50,XLY,RCL,Buy,13.38085561859329
7,XLY,TJX,Buy,12.885569257736385
43,XLY,ETSY,Sell,12.020857286929658
30,XLY,DRI,Buy,11.279769953767564
6,XLY,SBUX,Buy,10.622314467995208
23,XLY,DHI,Buy,10.276406531692267
46,XLY,BWA,Buy,10.227153416531724
40,XLY,PHM,Buy,10.010617963494598
20,XLY,ROST,Buy,9.705638545189284
37,XLY,LKQ,Buy,9.227495857559383
1,XLY,TSLA,Sell,9.13815405146133
45,XLY,TPR,Buy,8.882287960667028
25,XLY,LEN,Buy,8.831603282439481
21,XLY,APTV,Buy,8.595648195298118
17,XLY,CMG,Buy,8.582675488835314
18,XLY,YUM,Buy,8.003589704120758
42,XLY,MGM,Buy,7.774288298943397
10,XLY,DG,Sell,7.081262411892763
57,XLY,PVH,Buy,6.397421979341075
16,XLY,DLTR,Sell,6.215319197200375
56,XLY,RL,Buy,5.712447344294384
24,XLY,TSCO,Buy,5.5522094968150295
11,XLY,GM,Buy,5.507375223514591
19,XLY,HLT,Buy,4.984856319656728
15,XLY,MAR,Buy,4.841984512475809
5,XLY,LOW,Sell,4.225318111751067
4,XLY,NKE,Buy,3.7286197786220163
0,XLY,AMZN,Sell,3.5250104008666945
47,XLY,CZR,Buy,3.120814740432249
34,XLY,BBY,Buy,2.4099603662430296
2,XLY,HD,Sell,1.7940392976711341
9,XLY,TGT,Buy,1.6004258767092985
28,XLY,GRMN,Buy,1.1380503056955176
12,XLY,F,Buy,1.01302408561632
33,XLY,KMX,Sell,0.052272772987524974
44,XLY,WHR,Sell,-0.4803640034821761
31,XLY,POOL,Buy,-0.48851067947107474
51,XLY,MHK,Sell,-0.6468728212025683
52,XLY,BBWI,Sell,-1.0788308172041319
54,XLY,PENN,Sell,-1.0959831187062479
22,XLY,EBAY,Sell,-1.9555044696334303
32,XLY,DPZ,Sell,-2.47829359907707
48,XLY,NWL,Sell,-3.2386191566903566
35,XLY,EXPE,Sell,-4.955766135082749
39,XLY,AAP,Sell,-5.85261624084863
41,XLY,HAS,Sell,-7.5423427699478545
29,XLY,VFC,Sell,-9.477216884929168
55,XLY,NCLH,Sell,-10.27648910461024
