,ETF,Ticker,Technical Action,Score
20,XLU,CEG,Buy,19.393212216069372
0,XLU,NEE,Buy,18.85730888376601
16,XLU,ETR,Buy,14.72453238719645
27,XLU,NRG,Buy,13.360672820646379
3,XLU,D,Buy,12.111390843148325
21,XLU,CNP,Buy,11.281992222016983
1,XLU,DUK,Buy,10.28629597723275
11,XLU,ES,Sell,8.776230484986865
18,XLU,PPL,Buy,8.63958862447397
26,XLU,NI,Buy,8.514116847382782
4,XLU,AEP,Buy,8.28618827704918
17,XLU,FE,Buy,7.842518960471392
22,XLU,ATO,Buy,7.767494706026922
13,XLU,DTE,Buy,6.731323875349212
28,XLU,PNW,Buy,6.4775722475966715
14,XLU,EIX,Buy,5.570557908559851
23,XLU,EVRG,Buy,5.37497155384281
6,XLU,EXC,Sell,4.522630473448643
24,XLU,LNT,Buy,4.4550760979813715
10,XLU,PEG,Buy,4.257372449587788
5,XLU,SRE,Buy,4.0751862020932705
12,XLU,AWK,Buy,3.7784407274234346
19,XLU,CMS,Buy,3.4814399122014046
9,XLU,WEC,Sell,3.4518335854936932
2,XLU,SO,Buy,2.685283999908566
7,XLU,XEL,Sell,1.7238351665348877
8,XLU,ED,Buy,0.973237048840963
15,XLU,AEE,Sell,0.32966753243605473
25,XLU,AES,Buy,-2.7773090107418392
