,ETF,Ticker,Technical Action,Score
2,XLC,GOOG,Buy,106.67058691048382
1,XLC,GOOGL,Buy,69.67659243293087
12,XLC,WBD,Buy,29.19561912882259
13,XLC,TTWO,Buy,22.636662310134877
18,XLC,IPG,Buy,21.158836694601707
3,XLC,TMUS,Buy,14.871267111407146
4,XLC,ATVI,Buy,13.582352723671036
23,XLC,DISH,Sell,13.334175027788158
6,XLC,CHTR,Sell,13.189524255898203
14,XLC,MTCH,Sell,12.237883472614667
0,XLC,META,Buy,11.230971258325912
16,XLC,OMC,Buy,10.952071603204278
19,XLC,FOXA,Buy,10.368358085984456
10,XLC,DIS,Sell,9.925310688079422
22,XLC,FOX,Buy,9.193610248897434
24,XLC,NWS,Sell,8.757196455317564
20,XLC,LUMN,Sell,8.163508976137187
15,XLC,PARA,Buy,6.076199944293842
7,XLC,T,Buy,5.40238533373375
11,XLC,EA,Sell,4.71221702409817
9,XLC,CMCSA,Buy,2.8731850908782275
8,XLC,NFLX,Buy,-3.7264433052973325
5,XLC,VZ,Sell,-7.908028880970681
17,XLC,LYV,Sell,-8.995227954891794
21,XLC,NWSA,Sell,-12.231435336508325
